Concept ID,Concept,Classification,Status,Before Total,After Total,New Questions,After Foundational,After Intermediate,After Advanced,After Challenge,After Mastery,Checkpoint One,Checkpoint Two,Final Checkpoint,Mastery Checkpoint,Repair,Bridge
gains-from-trade,Comparative Advantage and Gains from Trade,Standalone-ready,Ready for focused use,2,46,44,9,9,9,4,6,3,3,3,3,3,2
economist-policy-role,Economists and Policy,Supplemental concept,Supplemental — useful in a combined game,2,20,18,4,4,3,2,3,0,0,0,0,2,1
competitive-markets,Competitive Markets,Core supporting concept,Best used with related concepts,6,27,21,7,7,4,2,3,3,3,0,0,2,1
price-signals,Price Signals,Core supporting concept,Best used with related concepts,7,27,20,4,7,7,2,3,0,3,3,0,2,1
models-and-assumptions,Models and Assumptions,Supplemental concept,Supplemental — useful in a combined game,12,25,13,4,4,4,2,4,0,0,0,3,2,1
market-failures,Market Failures,Core supporting concept,Best used with related concepts,14,29,15,8,7,4,2,3,3,3,0,0,2,1
micro-versus-macro,Microeconomics versus Macroeconomics,Supplemental concept,Supplemental — useful in a combined game,7,21,14,4,4,4,2,3,0,0,0,0,2,1
incentives,Incentives,Core supporting concept,Best used with related concepts,19,33,14,7,7,4,2,6,3,3,0,3,2,1
