eventID,timestamp,telemetryVersion,gameVersion,runID,game,mode,event,room,questionID,questionVersion,difficulty,selectedIndex,correct,rapidGuessing,tag,type,objective,responseTimeMs,attempt,streak,elapsedTimeMs,adaptiveMode,remediationStage,priorExposureCount,firstExposure,score,bestScore,totalTimeMs,accuracy,maxStreak,totalAttempts,verificationCode,fadingFortuneScore,fadingFortuneQuestionValue,fadingFortuneFadeCount,fadingFortuneIntervalMs,fadingFortunePausedDurationMs,fadingFortuneMaxScore,fadingFortuneAverageValue,fadingFortuneDistribution
"a5e3dd04-0466-463e-9e0b-fdd14df0fc07","2026-08-14T20:42:01.831Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","rapid_guessing","6","","1","easy","0","0","1","micro versus macro","application","GE.7.7","823","15","0","114990","non-engaged","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"7378b28e-dfd9-4425-8077-c1f695f5f226","2026-08-14T20:42:08.878Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","6","","1","easy","3","1","0","micro versus macro","application","GE.7.7","2493","16","1","122037","non-engaged","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"01639ad3-f31e-4852-8c8f-c22bab1a1fc0","2026-08-14T20:42:23.521Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","7","","1","easy","2","1","0","positive versus normative analysis","application","GE.7.7","12830","17","2","136679","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"ff250d57-1fdf-4398-aba6-d13d8c4fb2ad","2026-08-14T20:42:32.764Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","8","","1","easy","1","1","0","scarcity_tradeoffs","application","LO1.1","7430","18","3","145923","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"1d735403-3832-4465-97d9-8861d9eb3628","2026-08-14T20:42:35.584Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","easy","0","0","0","models and assumptions","application","LO2.1","1016","19","0","148743","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"d00794da-592d-4a6a-be8e-5971429aa02e","2026-08-14T20:42:47.104Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","microRepair","1","0","0","models and assumptions","application","LO2.1","11514","20","0","160263","repair","repair","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"165caf99-e6af-424c-90b0-cf9bc104db8c","2026-08-14T20:42:48.968Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","microRepair","0","1","0","models and assumptions","application","LO2.1","1862","21","1","162127","repair","repair","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"0a9d47a2-fbb6-4688-9351-5ee97fb9d263","2026-08-14T20:42:50.456Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","rapid_guessing","9","","1","microBridge","1","0","1","models_assumptions","application","LO2.1","1485","21","1","163615","non-engaged","bridge","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"66766994-d348-4a16-994d-8b782e58150e","2026-08-14T20:43:04.065Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","microBridge","3","1","0","models_assumptions","application","LO2.1","9099","22","2","177223","non-engaged","bridge","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"13248e44-4364-4c1c-9401-9d49699c966b","2026-08-14T20:43:17.050Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","easy","3","1","0","models_assumptions","application","LO2.1","12984","23","3","190209","retest","retest","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"b05b06f2-c3c6-4522-ae60-d4f13ba12e88","2026-08-14T20:43:31.472Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","9","","1","easy","0","1","0","opportunity_cost","application","LO1.2","13203","24","4","204630","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"e2ee1bd7-8d5e-4b8f-9fd0-868e0823da5a","2026-08-14T20:43:39.695Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","10","","1","easy","1","1","0","circular_flow","interpretation","LO2.2","6403","25","5","212854","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"4c247343-0652-4f9b-b80a-b90ccf0e4232","2026-08-14T20:43:49.747Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","11","","1","medium","2","1","0","ppf","graph","LO2.2","8205","26","6","222906","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"d4eeb469-c3bb-469a-8c18-c02d1f286a33","2026-08-14T20:44:15.632Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","12","","1","medium","3","0","0","models and assumptions","application","LO2.1","24078","27","0","248790","confirm","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"83362c36-13cd-4be3-887a-b78a3e238a28","2026-08-14T20:44:17.144Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","12","","1","microRepair","0","0","0","models and assumptions","application","LO2.1","1508","28","0","250303","repair","repair","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"1f0b9488-abcb-4152-a0a2-69849fe5f41a","2026-08-14T20:44:17.932Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","question","12","","1","microRepair","1","0","0","models and assumptions","application","LO2.1","786","29","0","251091","repair","repair","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"c89c5e10-1ffa-4824-9e23-db3c6990da5c","2026-08-14T20:44:18.625Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","rapid_guessing","12","","1","microRepair","2","0","1","models and assumptions","application","LO2.1","693","29","0","251784","non-engaged","repair","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0",""
"242a1c9a-5474-4077-b7e0-775872c9e99b","2026-08-14T20:44:24.434Z","faculty-local-v2","Faculty-Blank-2026.07.28","1786740006841-uktjrq","My Faculty Mastery Quest","unlimited","unlimited_ended_by_student","12","0","1","microRepair","-1","0","0","","","","0","29","0","257592","unlimited_ended_by_student","repair","0","0","0","0","257592","0.66","6","29","MQB-RFGNOF","0","0","0","0","0","0","0",""
